PolicyholderNumber,FirstPartyVehicleNumber,PolicyholderOccupation,FirstPolicySubscriptionDate,FirstPartyVehicleType,PolicyholderPostCode,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,PolicyHolderAge,FirstPartyLiability,ReferenceId,ThirdPartyVehicleNumber,InsurerNotes,LossDate,ClaimCause,ClaimInvolvedCovers,DamageImportance,ConnectionBetweenParties,LossPostCode,EasinessToStage,ClaimWithoutIdentifiedThirdParty,ClaimAmount,LossHour,NumberOfBodilyInjuries,Fraud
PH002578,V28430,Engineer,2010-02-24,Motorcycle,68219,0,2,195,57,0.8710429930488504,REF002578,V54829,Minor damage,2019-02-04,Natural Disaster,Comprehensive,3,Yes,22418,0.8825750140365062,0,9080.49515763626,17,0,0.0
PH004785,V78039,Doctor,2012-08-30,SUV,39330,0,2,102,38,0.22231038596381733,REF004785,V52380,Theft reported,2019-01-17,Accident,Comprehensive,8,No,63999,0.17281879920137033,0,17916.52016525292,6,1,0.0
PH006069,V46977,Engineer,2013-11-11,Truck,88747,0,1,114,57,0.5320900193051739,REF006069,V37019,Total loss,2020-08-01,Accident,Medical,2,No,45616,0.9970368383178919,0,22015.94255402271,15,0,0.0
PH006035,V65343,Teacher,2012-01-19,Car,69418,0,2,235,28,0.7494443609344413,REF006035,V85395,Partial damage,2019-10-31,Vandalism,Collision,9,No,62334,0.7105364998032289,0,10728.039750724287,19,0,0.0
PH000831,V39045,Other,2010-11-20,Van,68092,0,2,16,30,0.5771774558331312,REF000831,V14968,Total loss,2020-05-30,Fire,Medical,5,No,83860,0.5460583277348714,0,3186.2372035142052,2,0,0.0
PH002680,V17897,Lawyer,2018-06-20,Car,83998,0,1,27,32,0.23818061002886592,REF002680,V12153,Theft reported,2019-06-02,Theft,Comprehensive,8,No,85401,0.39843412385640153,0,20408.19181280012,13,0,0.0
PH009927,V31157,Engineer,2014-07-26,Car,15988,0,1,8,32,0.8504801213970529,REF009927,V22780,Total loss,2020-09-11,Vandalism,Comprehensive,3,No,65924,0.022818755583081884,0,8197.742222794848,17,0,0.0
PH007553,V19096,Engineer,2017-12-04,Car,24725,0,1,96,36,0.5240731879015991,REF007553,V66373,Theft reported,2019-02-07,Fire,Comprehensive,6,No,16572,0.021680594597828118,0,2974.1521558256495,19,1,0.0
PH002448,V35200,Doctor,2018-05-08,Truck,96353,1,1,35,35,0.6474040054428447,REF002448,V32245,Minor damage,2020-01-15,Vandalism,Liability,8,No,94915,0.3345256638487024,0,34331.2574400355,5,1,0.0
PH009070,V75432,Business,2016-11-07,Van,28501,0,4,87,41,0.8719144040281893,REF009070,V75388,Minor damage,2019-06-24,Vandalism,Medical,5,No,70081,0.7934286866002045,0,25091.530935486564,15,0,0.0
PH005003,V94819,Lawyer,2016-10-19,Motorcycle,85856,0,2,231,74,0.7801306303597649,REF005003,V84542,Partial damage,2020-07-17,Fire,Comprehensive,1,No,22427,0.03156710848457078,0,9178.536398210003,9,0,0.0
PH000515,V53279,Engineer,2018-09-17,SUV,99217,0,1,90,43,0.4616363519419703,REF000515,V36765,Partial damage,2020-08-17,Natural Disaster,Comprehensive,2,No,33983,0.01134124141142323,0,37499.13123423609,21,0,0.0
PH000419,V11267,Business,2019-07-30,Van,74390,0,2,134,40,0.6614717436755821,REF000419,V20802,Total loss,2019-05-04,Accident,Liability,4,No,72425,0.2682191187519004,0,32986.26845269446,13,0,0.0
PH003391,V32047,Engineer,2016-04-09,SUV,27197,1,1,7,61,0.21461378805461395,REF003391,V97205,Partial damage,2019-04-24,Vandalism,Liability,2,No,28063,0.8470815776101519,0,9995.95916163658,17,0,0.0
PH006325,V82100,Teacher,2011-02-01,Truck,94744,1,1,118,52,0.5495154154909511,REF006325,V22648,Partial damage,2019-04-08,Natural Disaster,Liability,1,No,27444,0.13666040507219868,0,26751.20065218946,11,3,0.0
PH001229,V36111,Business,2020-12-02,Motorcycle,94325,0,1,235,71,0.36085370351423407,REF001229,V26700,Total loss,2020-04-02,Accident,Medical,7,No,73776,0.8127575826789364,0,22819.930739136184,11,0,0.0
PH005400,V77681,Teacher,2019-10-28,Motorcycle,93658,0,1,51,78,0.6470253999255028,REF005400,V75401,Partial damage,2020-05-16,Accident,Medical,1,No,93242,0.7862638715330249,0,8529.752957269175,9,0,0.0
PH009356,V68918,Business,2020-10-13,Van,15263,0,1,37,54,0.4346543805058528,REF009356,V40044,Partial damage,2019-05-27,Natural Disaster,Medical,6,No,62092,0.20065063508062486,0,12458.314401863096,10,0,0.0
PH002836,V34906,Teacher,2012-03-30,Truck,62791,0,1,105,60,0.5813493905442025,REF002836,V93040,Partial damage,2019-04-18,Theft,Comprehensive,3,No,34025,0.8949748150334031,0,1917.757338873918,22,0,0.0
PH004662,V45386,Engineer,2012-09-05,Motorcycle,27243,0,1,190,75,0.1936732907422729,REF004662,V24898,Partial damage,2020-06-05,Vandalism,Liability,2,No,81303,0.89465666360304,0,11403.820673624632,4,0,0.0
PH002231,V84991,Other,2012-02-08,Car,62680,1,1,97,54,0.1234776610912375,REF002231,V36644,Partial damage,2020-06-23,Natural Disaster,Liability,2,No,73533,0.42592642647637236,0,9289.851278819913,8,0,0.0
PH002339,V90090,Other,2020-11-11,Motorcycle,53051,0,2,74,28,0.5139593104931851,REF002339,V45378,Theft reported,2020-05-28,Accident,Comprehensive,9,Yes,26629,0.12322869259356573,0,33246.47247434512,18,1,0.0
PH001353,V95841,Business,2020-05-14,SUV,40043,0,2,97,50,0.7273173015983031,REF001353,V62952,Minor damage,2020-01-29,Theft,Medical,2,No,84754,0.42540822527048494,0,7221.440988065347,8,0,0.0
PH003257,V69303,Doctor,2020-09-02,Truck,90398,1,1,184,47,0.33274904905935876,REF003257,V11275,Total loss,2020-06-05,Theft,Liability,8,No,82170,0.2642793175775864,0,40029.73114190724,13,0,0.0
PH002120,V47431,Lawyer,2018-01-24,Van,62772,0,2,59,48,0.41976257373901127,REF002120,V23476,Total loss,2019-03-20,Vandalism,Collision,9,No,93898,0.4112788510563734,0,16489.21826157358,4,1,0.0
PH005121,V73806,Lawyer,2020-01-15,Motorcycle,83569,0,1,213,23,0.3619256083263659,REF005121,V42077,Theft reported,2020-10-06,Natural Disaster,Comprehensive,4,No,19545,0.19917570359166537,0,22131.8789038261,4,1,0.0
PH006506,V49992,Business,2015-05-23,Car,15437,1,3,173,20,0.8309971999014665,REF006506,V74877,Total loss,2019-07-03,Natural Disaster,Collision,2,No,39234,0.736412116145314,0,17915.081561525618,9,0,0.0
PH008962,V35987,Engineer,2013-04-16,Truck,74107,1,1,160,54,0.7476341255516493,REF008962,V76782,Partial damage,2019-04-30,Fire,Collision,7,Yes,20757,0.9293629956498375,0,9274.49053134963,18,0,0.0
PH002618,V89395,Lawyer,2020-10-07,Motorcycle,17564,0,1,172,54,0.3899281401670822,REF002618,V93138,Partial damage,2019-10-04,Vandalism,Comprehensive,6,No,64380,0.12004889199481528,0,47222.25314322658,9,0,0.0
PH003796,V29735,Other,2014-02-11,SUV,12175,0,2,120,22,0.5738073079332556,REF003796,V64557,Minor damage,2020-11-13,Fire,Medical,5,No,99426,0.742695120831137,0,46892.89982283075,2,0,0.0
PH007451,V29025,Doctor,2010-12-20,Truck,82279,0,1,79,71,0.5750155824319644,REF007451,V24031,Total loss,2020-05-05,Theft,Collision,4,No,54000,0.6908550129183778,0,27181.05628592998,6,0,0.0
PH006670,V75840,Doctor,2020-04-28,Car,28936,0,1,113,67,0.7793221281975848,REF006670,V90244,Minor damage,2020-09-29,Theft,Collision,8,No,44855,0.4863883315002874,0,38552.78105053538,21,0,0.0
PH007815,V30715,Teacher,2017-01-03,Van,15327,0,1,147,18,0.23164475103214174,REF007815,V94360,Minor damage,2020-09-03,Natural Disaster,Collision,2,No,64041,0.4426328327581468,0,32824.6167686876,7,0,0.0
PH004759,V33758,Other,2013-12-21,Truck,49095,1,1,199,59,0.11601011055051319,REF004759,V23411,Partial damage,2019-11-02,Accident,Liability,6,Yes,79512,0.200493836345767,0,41392.311361491484,1,1,0.0
PH007662,V25491,Doctor,2017-11-10,SUV,26250,1,4,35,70,0.13442413322235397,REF007662,V66229,Minor damage,2019-07-09,Accident,Collision,1,No,15336,0.6164848524947338,0,2027.7727599269392,4,0,0.0
PH006505,V24585,Teacher,2010-12-04,Truck,73712,0,1,225,46,0.8054744504438417,REF006505,V86779,Total loss,2020-03-15,Vandalism,Liability,8,No,13818,0.5479496993931414,1,5142.545482678951,4,2,0.0
PH004137,V44226,Lawyer,2011-09-24,Van,96951,1,1,238,45,0.36543003433351084,REF004137,V16741,Theft reported,2020-06-07,Accident,Liability,5,No,65628,0.994619265656429,0,20076.87766981948,8,0,0.0
PH003872,V30658,Doctor,2014-01-04,Motorcycle,41593,0,2,34,62,0.5943840422277266,REF003872,V27002,Theft reported,2020-10-09,Fire,Collision,9,Yes,47761,0.2313503910946969,0,28628.898644843295,10,1,0.0
PH000439,V97416,Other,2016-11-08,Car,66964,0,1,142,53,0.6898510357004257,REF000439,V42771,Theft reported,2019-11-14,Accident,Collision,3,No,91853,0.13868998401772648,1,21321.18409250153,3,0,0.0
PH004378,V26236,Lawyer,2012-09-17,Car,83012,0,2,203,33,0.8549518719181283,REF004378,V71618,Partial damage,2020-03-28,Fire,Collision,6,No,25612,0.5517635217727276,0,5731.884456004549,14,0,0.0
PH000820,V63271,Lawyer,2011-05-12,Truck,88596,1,1,22,69,0.5381731639880166,REF000820,V20405,Total loss,2019-08-31,Accident,Medical,3,No,51088,0.550860056724294,0,20281.557262039652,7,0,0.0
PH002699,V80687,Doctor,2018-08-09,Motorcycle,26746,0,1,12,71,0.5543882282963012,REF002699,V82297,Partial damage,2019-04-25,Theft,Comprehensive,2,No,63507,0.7163712693123969,0,16711.721168633037,5,0,0.0
PH003134,V53193,Other,2015-03-31,Car,88868,0,1,81,42,0.558093642862293,REF003134,V36610,Minor damage,2019-12-10,Theft,Liability,4,No,26840,0.7894722895866801,0,18727.096528408023,5,0,0.0
PH005508,V25403,Business,2013-03-19,Car,15427,0,2,191,32,0.3652355384635191,REF005508,V75976,Theft reported,2019-07-29,Accident,Collision,4,No,87631,0.6101165672214349,0,41006.05447766012,10,0,0.0
PH004822,V40801,Business,2015-06-23,Motorcycle,55127,1,2,139,50,0.49327296744238047,REF004822,V25760,Total loss,2020-03-28,Natural Disaster,Medical,4,No,93768,0.06003793076904107,0,7947.621744825412,3,0,0.0
PH003085,V22198,Business,2019-09-16,Motorcycle,13819,0,2,12,30,0.657443036415929,REF003085,V72642,Minor damage,2019-05-10,Theft,Collision,3,No,36084,0.6042156671849486,0,41748.63552920992,8,1,0.0
PH001558,V19120,Teacher,2014-02-03,Van,58095,0,2,67,46,0.27289095236197725,REF001558,V84993,Total loss,2019-02-19,Fire,Collision,4,Yes,38666,0.2555823680276257,0,10835.407680327828,17,1,0.0
PH003720,V44465,Other,2012-09-02,Motorcycle,25322,0,1,233,47,0.28421895610295156,REF003720,V37194,Minor damage,2019-10-23,Fire,Collision,5,No,33519,0.4308689052358713,0,45831.41698575453,23,0,0.0
PH009087,V93447,Other,2016-06-07,SUV,26982,0,1,181,46,0.7491183495668414,REF009087,V57578,Total loss,2020-04-03,Vandalism,Collision,5,No,14628,0.7909070878258314,0,43597.377745321886,16,0,0.0
PH006104,V68059,Lawyer,2012-04-09,Truck,16618,0,1,220,18,0.400988988312329,REF006104,V68564,Theft reported,2019-08-03,Vandalism,Comprehensive,2,No,92182,0.8432596426390059,0,49456.81516568759,7,0,0.0
PH004600,V18557,Doctor,2014-03-13,SUV,69172,0,2,1,79,0.32335195336448586,REF004600,V24280,Minor damage,2019-06-25,Vandalism,Medical,1,No,18646,0.0983977221161122,1,22488.476949823074,3,0,0.0
PH005029,V89087,Teacher,2016-12-11,Van,17223,1,4,220,56,0.33723025792974576,REF005029,V28325,Partial damage,2020-11-16,Vandalism,Liability,7,No,56300,0.4440087069137144,0,40870.96033805254,17,0,0.0
PH006485,V90769,Other,2018-09-01,Motorcycle,98231,0,2,228,50,0.22493530220373864,REF006485,V66685,Minor damage,2020-03-05,Theft,Comprehensive,2,No,64686,0.056301914416548526,0,22165.61830815627,8,0,0.0
PH000319,V17455,Lawyer,2018-06-19,SUV,70690,0,1,153,35,0.406314299425213,REF000319,V79803,Minor damage,2019-02-11,Fire,Comprehensive,7,No,74050,0.06999559826987645,0,42645.877404022984,23,1,0.0
PH005095,V95105,Doctor,2016-09-18,Van,60787,0,1,97,19,0.5434148048975483,REF005095,V28290,Minor damage,2020-10-26,Vandalism,Medical,5,No,62944,0.8681754344656818,0,13161.190690338824,17,0,0.0
PH008255,V47707,Lawyer,2013-04-27,SUV,55388,0,2,54,41,0.7016696769425046,REF008255,V41637,Theft reported,2020-03-10,Fire,Comprehensive,2,No,25836,0.6447981546311687,0,44598.18038822665,4,3,0.0
PH007548,V17872,Lawyer,2020-03-16,Truck,78916,0,2,204,24,0.3276751275268291,REF007548,V18229,Minor damage,2019-10-26,Fire,Comprehensive,3,No,39979,0.06827722532411684,0,817.0971974353058,1,0,0.0
PH006330,V66438,Engineer,2017-01-21,Motorcycle,32537,1,3,197,29,0.58104771516365,REF006330,V18272,Minor damage,2019-09-24,Natural Disaster,Comprehensive,3,No,10392,0.10278896467336085,0,28602.29455019053,21,0,0.0
PH005737,V99536,Doctor,2011-11-11,Motorcycle,35044,0,1,99,24,0.4090158353488704,REF005737,V15273,Theft reported,2020-09-15,Accident,Medical,9,No,12915,0.9404914902609728,0,39437.58145388972,21,0,0.0
PH002620,V64505,Lawyer,2015-10-10,Truck,72759,0,2,9,37,0.36455150903066613,REF002620,V93744,Partial damage,2019-02-05,Theft,Comprehensive,7,No,38431,0.6599340614823852,0,24076.39719093588,19,0,0.0
PH001109,V80592,Other,2010-07-22,Car,73394,0,1,178,40,0.12058607441518268,REF001109,V90059,Theft reported,2019-02-18,Accident,Medical,8,No,60568,0.44097942519704636,0,4317.7590324234725,5,0,0.0
PH006915,V35369,Teacher,2017-09-16,SUV,18560,0,1,136,23,0.3973190643387893,REF006915,V83793,Theft reported,2019-06-22,Vandalism,Collision,8,No,20408,0.5905404760718684,1,38834.96970600428,5,3,0.0
PH005762,V58653,Engineer,2018-10-11,Motorcycle,47997,1,1,217,79,0.25189142948372323,REF005762,V35745,Minor damage,2019-04-08,Fire,Collision,1,Yes,93255,0.3479411894687682,1,4214.8684857168755,18,0,0.0
PH004594,V23462,Other,2013-07-20,Truck,37873,0,3,105,64,0.4333228797091597,REF004594,V62081,Minor damage,2020-08-24,Accident,Medical,5,No,92884,0.5667159600968243,0,12637.565188769671,9,0,0.0
PH009655,V57352,Other,2020-07-21,SUV,98106,1,4,174,47,0.19926520140813964,REF009655,V87433,Theft reported,2020-02-24,Accident,Medical,6,No,90518,0.4850447493530381,0,10981.464323351267,14,0,0.0
PH001972,V71621,Doctor,2015-03-30,Truck,69048,0,1,221,45,0.4439656939651111,REF001972,V43925,Total loss,2019-05-29,Fire,Collision,7,No,16843,0.7041763753314181,1,29682.004570660356,5,0,0.0
PH005105,V41958,Other,2018-04-21,Truck,83923,1,1,98,56,0.26954504034420845,REF005105,V61903,Theft reported,2019-06-18,Vandalism,Collision,8,No,99508,0.27144476880968926,0,17726.334209133853,0,1,0.0
PH002658,V27294,Business,2017-01-05,Car,12027,0,1,239,36,0.2551794496697768,REF002658,V70138,Minor damage,2019-08-18,Theft,Medical,6,No,25164,0.9866744790343019,1,18889.592728246855,9,0,0.0
PH008849,V42289,Engineer,2017-06-16,SUV,94145,0,1,204,45,0.816362641679967,REF008849,V24401,Total loss,2020-11-19,Fire,Comprehensive,7,No,79077,0.08110486975304665,0,25243.98129836554,22,1,0.0
PH002604,V99925,Other,2014-01-01,Car,34307,0,1,66,77,0.13011391989075696,REF002604,V11859,Minor damage,2019-05-17,Accident,Comprehensive,3,No,65348,0.3536102701245185,0,40031.106870205076,5,0,0.0
PH004922,V23573,Engineer,2020-04-11,Car,99947,1,2,59,57,0.5083277847295665,REF004922,V21005,Theft reported,2020-07-11,Vandalism,Liability,3,No,86410,0.46308306074027716,0,15476.661027752969,15,0,0.0
PH004723,V16014,Teacher,2014-07-13,Van,84772,1,1,71,61,0.3703809225700113,REF004723,V91916,Theft reported,2020-03-01,Accident,Liability,9,No,84688,0.8216761262864424,0,10398.36992976881,4,0,0.0
PH000892,V16734,Teacher,2018-07-27,Motorcycle,91936,1,1,106,31,0.13840322793186718,REF000892,V47401,Partial damage,2019-07-22,Fire,Medical,6,No,79211,0.4464001153155359,0,49386.38912335729,12,1,0.0
PH007628,V96603,Other,2018-02-09,Van,24207,0,1,229,18,0.7122838977384676,REF007628,V39850,Partial damage,2020-02-16,Theft,Collision,9,No,59293,0.05437162501354653,0,17522.87691706736,23,0,0.0
PH005360,V15297,Doctor,2015-07-04,Truck,94648,0,1,48,51,0.8936496870261523,REF005360,V63370,Minor damage,2020-01-17,Accident,Liability,1,Yes,15345,0.8988651943279639,0,8956.715690352381,10,3,0.0
PH003479,V52898,Engineer,2014-01-17,Motorcycle,78209,0,1,168,24,0.16256950126638303,REF003479,V10780,Minor damage,2019-07-23,Fire,Liability,8,Yes,47063,0.23540756131851803,0,31570.1343641798,15,1,0.0
PH007133,V40368,Doctor,2020-09-23,SUV,62557,1,2,81,65,0.7347925684353412,REF007133,V17433,Total loss,2019-01-28,Theft,Liability,9,No,53307,0.23938663628030454,0,48145.188223162404,7,0,0.0
PH000442,V83385,Other,2018-09-19,SUV,19934,0,1,210,73,0.6715469249089571,REF000442,V45974,Minor damage,2019-11-17,Fire,Medical,1,No,38432,0.9368036390005223,0,37737.15889624806,19,1,0.0
PH004386,V33276,Engineer,2015-11-15,Truck,48343,0,1,67,65,0.5684609534303479,REF004386,V93200,Partial damage,2019-05-21,Accident,Comprehensive,3,No,59145,0.3778053634768186,0,21574.84182837238,5,0,0.0
PH000788,V87656,Engineer,2011-06-05,Motorcycle,78702,0,2,36,32,0.37889161167803076,REF000788,V92689,Minor damage,2020-08-02,Accident,Medical,6,No,63536,0.6177914850529841,0,48877.0504632265,10,0,0.0
PH005483,V69437,Engineer,2015-11-30,Car,82082,0,2,100,33,0.891959267543845,REF005483,V33281,Theft reported,2020-10-30,Vandalism,Collision,8,No,30414,0.23375789810580938,0,39127.23202597928,4,2,0.0
PH000709,V12540,Teacher,2018-06-22,SUV,81091,0,1,100,73,0.844189477326668,REF000709,V61199,Partial damage,2020-10-25,Theft,Medical,7,Yes,75602,0.8768827186155386,0,8060.532498090549,5,1,0.0
PH008124,V70036,Other,2013-12-03,Truck,53779,0,1,18,65,0.8987959015742267,REF008124,V76368,Total loss,2019-01-27,Vandalism,Comprehensive,7,Yes,42023,0.48593720703224885,0,28765.99366397726,8,0,0.0
PH000423,V81511,Other,2017-01-16,Motorcycle,83226,0,1,186,32,0.8519300008424799,REF000423,V81650,Total loss,2020-09-22,Natural Disaster,Collision,1,No,45845,0.822010531416684,0,24536.435168717806,21,0,0.0
PH004342,V94614,Engineer,2012-02-02,Car,47876,1,2,112,35,0.5457461200830727,REF004342,V56362,Theft reported,2020-06-19,Fire,Collision,9,Yes,75547,0.8894893168743525,0,19925.091449939453,10,1,0.0
PH006050,V27907,Engineer,2018-10-21,Car,93472,0,1,87,34,0.18056329397377155,REF006050,V52255,Partial damage,2020-04-12,Fire,Medical,9,No,43730,0.16413660114381745,0,39785.66916632017,6,0,0.0
PH004555,V51079,Teacher,2018-01-01,SUV,69707,0,3,94,77,0.171283230385128,REF004555,V89389,Theft reported,2019-11-28,Natural Disaster,Liability,2,No,82802,0.7047640791393529,0,20084.80612062385,6,0,0.0
PH001355,V74139,Doctor,2019-03-18,Car,92536,0,1,14,56,0.15744303307936908,REF001355,V14455,Total loss,2019-06-30,Accident,Liability,6,No,77801,0.010056944888161334,0,23046.60182178498,1,0,0.0
PH004649,V43126,Teacher,2012-05-14,Truck,15282,1,3,177,21,0.8021835650489284,REF004649,V20673,Partial damage,2019-07-08,Theft,Liability,3,No,95610,0.8320977509141195,1,44460.97033760284,21,1,0.0
PH000913,V89471,Doctor,2014-11-10,SUV,11471,1,3,220,44,0.4949545394616205,REF000913,V59993,Total loss,2020-09-22,Natural Disaster,Medical,6,No,73680,0.49805097143713495,0,9523.128683619014,12,0,0.0
PH000994,V40005,Business,2010-09-01,Truck,56989,0,1,90,79,0.5499759423393825,REF000994,V11617,Theft reported,2020-09-29,Accident,Comprehensive,1,No,31776,0.9971556815016848,0,36905.39557658437,16,0,0.0
PH006387,V73999,Lawyer,2018-06-08,SUV,51472,1,1,61,33,0.45256341942246736,REF006387,V65576,Theft reported,2019-02-11,Vandalism,Collision,6,No,44816,0.4860933074846532,0,35409.35240374076,18,0,0.0
PH009731,V74067,Engineer,2011-08-21,Van,72681,0,2,81,32,0.5781178372328072,REF009731,V45900,Total loss,2020-11-30,Theft,Comprehensive,6,No,75937,0.7931645035794163,0,17150.541728630014,8,1,0.0
PH002331,V19637,Business,2015-01-01,Car,51620,1,3,172,71,0.16320789144610137,REF002331,V63097,Theft reported,2020-07-22,Fire,Comprehensive,1,No,71882,0.12047822924945328,0,23961.815037518023,10,0,0.0
PH006759,V69464,Business,2018-07-08,Car,47693,0,1,91,49,0.6340995690982275,REF006759,V76578,Total loss,2020-07-20,Vandalism,Collision,6,No,78081,0.0727784406408325,0,40746.93163085947,2,0,0.0
PH004638,V96765,Teacher,2011-12-19,Car,42692,0,1,137,43,0.7323005970083066,REF004638,V74058,Total loss,2020-10-31,Accident,Liability,3,No,61716,0.7670819484707834,0,22554.682171827633,9,0,0.0
PH003331,V27556,Other,2012-03-31,Van,90224,0,2,121,46,0.3769211047731581,REF003331,V99006,Minor damage,2020-11-18,Vandalism,Medical,9,No,69978,0.24182303169150432,0,14820.652147691735,12,0,0.0
PH008566,V66414,Teacher,2020-11-04,Motorcycle,68087,1,1,201,79,0.6763287089246349,REF008566,V70172,Theft reported,2020-03-28,Fire,Liability,8,No,69496,0.987054157009024,0,31743.29056875813,11,0,0.0
PH005507,V75972,Doctor,2018-12-30,SUV,20541,1,3,162,37,0.7355028953320435,REF005507,V91254,Theft reported,2020-09-18,Theft,Liability,9,No,21217,0.22846546903825604,1,5544.37502409015,0,0,0.0
PH003489,V62129,Other,2016-03-05,Car,62418,1,1,31,76,0.41765235484900676,REF003489,V53710,Total loss,2019-04-08,Natural Disaster,Comprehensive,6,Yes,50417,0.7424240927981354,0,20123.944537181975,18,0,0.0
PH003708,V43980,Other,2017-12-22,Truck,79626,0,1,132,76,0.6211172711513389,REF003708,V57128,Partial damage,2019-08-10,Theft,Medical,5,No,48507,0.09408733814119641,0,11781.308007856667,0,2,0.0
PH008916,V94030,Engineer,2012-09-14,Motorcycle,41048,1,1,213,26,0.35537372233180753,REF008916,V43150,Minor damage,2020-12-25,Fire,Medical,2,No,80435,0.8362030739075963,0,47007.07767322209,8,0,0.0
PH009497,V48289,Engineer,2012-03-07,SUV,67115,1,3,159,18,0.30767721020622874,REF009497,V84834,Theft reported,2020-12-22,Accident,Medical,7,No,59987,0.8719727641367654,0,20394.174013665863,3,0,0.0
PH007127,V69714,Lawyer,2019-10-25,Motorcycle,71039,1,3,182,70,0.6669196655415004,REF007127,V47723,Minor damage,2019-12-11,Fire,Comprehensive,9,No,51778,0.10440955116573691,0,20757.58720417867,9,0,0.0
