Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Income,Poverty,Unemployment,Employed,creditworthiness_score
51011,0,0.066611829,34,0,0.206383489,8333,5,0,1,0,0,192,Google Pixel 5,Android,79,1.9,477,13,161,24,Male,1,44904,11.7,2.7,1524,1
76505,0,0,51,0,576,,5,0,1,0,0,277,Xiaomi Mi 11,Android,269,5.9,1666,42,629,32,Female,3,43531,19.6,8.6,6455,1
134481,0,0.06323366,46,0,0.191144965,4200,6,0,1,0,1,161,Samsung Galaxy S21,Android,64,1.6,540,19,262,35,Female,1,50462,12.1,4.2,16480,1
100165,0,0.291630852,45,1,0.554770789,7503,17,0,4,0,0,460,OnePlus 9,Android,174,2.4,639,37,545,50,Male,2,37653,21.9,6.2,9660,1
25706,1,0.147334739,54,0,0.031626085,3572,8,0,0,0,1,314,Xiaomi Mi 11,Android,130,3,820,21,308,49,Female,2,38971,18.5,7.3,32282,1
96399,0,0.451736404,62,0,0.180824373,16739,8,0,2,0,0,22,OnePlus 9,Android,576,11.6,2803,82,1553,43,Female,5,44189,13,8.7,2632,1
33117,0,0.023732354,44,0,0.544645535,10000,11,0,1,0,2,253,Google Pixel 5,Android,523,10.5,2460,99,1787,22,Male,5,44589,13,6.1,4716,1
924,0,0.822400231,63,0,0.515793683,2500,12,0,0,0,0,561,Samsung Galaxy S21,Android,408,6.2,2245,69,1103,38,Female,4,78125,8.2,6.2,62469,0
74297,0,0.023455168,64,0,0.253984607,16500,28,0,2,0,1,475,Xiaomi Mi 11,Android,210,4.9,1657,55,765,49,Female,3,61537,12.3,7.2,12990,1
103669,0,0.032074198,57,0,0.548886738,3098,8,0,1,0,0,59,Xiaomi Mi 11,Android,428,7,2306,75,1144,22,Male,4,49298,16,9.8,20232,0
100419,0,0.737815546,37,2,168,1,3,1,0,0,0,511,Google Pixel 5,Android,241,5.3,1767,58,976,38,Female,3,70544,10.6,7.8,15166,0
99126,0,0.018146837,58,0,2122,,6,0,2,0,0,682,Xiaomi Mi 11,Android,380,7.6,2354,77,1191,30,Male,4,33872,33,10.9,26794,0
39798,0,0.604395604,36,0,0.710350955,2250,18,0,0,0,0,476,Samsung Galaxy S21,Android,412,6.2,2201,68,1085,54,Female,4,44178,21.4,7.5,13867,0
110749,0,0.9999999,53,0,0,1333,0,0,0,0,0,700,OnePlus 9,Android,212,5.4,1306,49,828,23,Female,3,47134,19.1,9,11031,1
29475,0,0.158859813,53,0,0.435405953,6416,12,0,1,0,1,190,Samsung Galaxy S21,Android,42,1.1,402,11,265,32,Female,1,33393,10.4,6,205,1
62005,0,0.004755344,62,0,0.402355776,7470,10,0,3,0,2,687,Google Pixel 5,Android,335,7.7,2037,68,1007,18,Male,4,43444,21.9,12.1,89411,0
56936,0,0,30,0,0,2000,3,0,0,0,0,563,Google Pixel 5,Android,71,1.4,508,15,265,33,Female,1,27995,20.7,8.1,8878,1
24370,0,0.9999999,71,0,0,8000,0,0,0,0,0,567,Google Pixel 5,Android,116,3.9,1132,26,498,35,Female,2,46929,17.4,7.2,95841,1
37241,0,0.798624547,69,0,0.445263684,8001,8,0,2,1,0,244,Samsung Galaxy S21,Android,451,6.5,2378,69,1341,44,Male,4,27995,20.7,8.1,8878,1
49307,1,0.762408771,39,0,0.529433543,2700,6,0,0,0,4,505,Google Pixel 5,Android,493,8.5,2859,99,2450,47,Male,5,37891,17.6,6.8,960,0
90612,0,0.606948126,63,0,1234,,9,0,2,1,1,131,Google Pixel 5,Android,540,10.8,2923,90,1886,40,Male,5,46859,16.3,11.4,45213,0
107702,0,0.0641729,89,0,659,,10,0,0,0,,485,iPhone 12,iOS,444,6,1873,61,1093,39,Female,4,39377,30.2,11.3,33411,0
89673,0,0.047997333,57,0,0.260353469,7581,4,0,1,0,1,647,Samsung Galaxy S21,Android,89,1.3,314,16,201,58,Female,1,46663,24.8,5.6,45648,1
95329,1,0.787511231,48,2,1.554174067,1688,6,1,1,1,3,21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,2,32784,23.2,8.3,16205,0
32514,0,0.102774497,51,0,0.162936832,9070,9,0,1,0,1,167,Google Pixel 5,Android,595,11.3,2968,88,2366,30,Male,5,22246,39.1,23.9,17033,0
137403,0,0.072853674,84,0,0.017301038,2600,4,0,0,0,1,274,Google Pixel 5,Android,179,2.3,1014,32,588,38,Male,2,52379,11.1,7.5,15539,1
108661,0,0.05234587,65,1,1.280929768,4000,11,0,4,0,0,388,Samsung Galaxy S21,Android,72,1.3,461,13,199,32,Male,1,55120,10.8,6.7,20872,0
117163,0,0.478023726,43,0,0.162941961,5995,3,1,1,0,2,601,iPhone 12,iOS,325,6,2244,70,1296,30,Female,4,41824,16.1,7.7,27803,1
34128,0,0,63,0,968,,4,0,1,0,2,316,OnePlus 9,Android,74,2,320,11,103,55,Female,1,37106,19.4,13.5,8014,1
75599,0,0.063982976,72,0,0.036049682,3300,4,0,0,0,1,14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3,38999,22,10.3,8807,0
94661,0,0.038680128,52,0,1235,,6,0,1,0,0,242,Xiaomi Mi 11,Android,564,11.7,2764,81,2133,37,Female,5,41533,18.4,12.9,5724,0
15667,0,0.098284692,30,0,0.450387051,1420,7,0,0,0,0,346,iPhone 12,iOS,308,7.7,1974,73,1431,37,Female,4,50423,12.5,7.6,16206,0
102641,0,0.049259124,63,0,1003,,6,0,1,0,0,565,Xiaomi Mi 11,Android,290,4.4,1272,55,910,44,Male,3,46267,20.8,2.9,9189,1
72836,0,0.188430487,47,0,0.429893438,7131,5,0,1,0,2,340,iPhone 12,iOS,64,1.2,590,13,155,30,Male,1,44632,13.3,7.6,23751,1
58111,0,0.128782829,30,0,28,,3,0,0,0,,92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,3,77348,11.1,8.6,398116,1
41679,0,0,55,0,0,6900,2,0,0,0,0,367,Xiaomi Mi 11,Android,516,11.6,2464,82,1767,29,Female,5,48098,5.5,1.3,2055,1
111764,0,0.186792528,63,0,5554,,16,0,3,0,0,455,iPhone 12,iOS,143,3.9,1160,24,398,45,Male,2,47558,13,6.6,14663,1
95771,0,0.012963401,38,0,30,,7,0,0,0,1,428,OnePlus 9,Android,105,3.8,967,28,489,51,Male,2,43288,13.3,5.4,9444,1
142843,0,0,57,2,1981,,4,0,2,0,3,509,Google Pixel 5,Android,267,5.9,1740,45,791,22,Male,3,39930,21.2,8.3,46331,1
82450,0,0,55,0,0.585793137,4166,7,0,1,0,0,35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5,49427,14,6.5,19166,1
113687,0,0.779088729,52,0,0.258882342,5600,9,0,1,0,0,206,Xiaomi Mi 11,Android,301,6.5,2084,71,1421,29,Male,4,64505,7.3,4.5,63025,1
42247,0,0.164413983,65,0,1187,,17,0,0,0,0,81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,5,46414,14.7,5.1,11437,1
84726,0,0.969549289,57,0,0.598955392,7083,24,0,2,0,1,562,Xiaomi Mi 11,Android,121,2.1,1188,21,578,18,Male,2,39088,15.4,6.7,4974,1
27727,0,0.142738779,47,0,0.367907261,4916,8,0,1,0,2,388,Samsung Galaxy S21,Android,72,1.3,461,13,199,32,Male,1,34448,22.7,11.2,3544,1
122224,0,0,53,0,0.188540573,20000,16,0,2,0,4,2,OnePlus 9,Android,268,4.7,1331,42,944,47,Female,3,37352,19.8,9.2,11964,1
40010,0,0,71,0,0.423326134,3703,13,0,1,0,0,390,Xiaomi Mi 11,Android,119,2.8,775,31,313,50,Female,2,45932,22.2,6.5,86629,1
66017,0,0,33,0,0.479658606,3514,11,0,1,0,0,566,Samsung Galaxy S21,Android,60,1.3,462,15,296,40,Male,1,41571,18.3,8.3,44067,1
50464,0,0.078049835,45,0,0.569960023,1750,10,0,2,0,0,106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1,60934,9.1,5.9,91888,1
29065,0,0.9999999,68,0,84,,5,0,0,0,0,477,Google Pixel 5,Android,318,6.6,2089,77,1126,49,Female,4,24430,35.6,16.1,68598,0
34966,0,0.224367989,47,0,0.280226164,12910,5,0,1,0,5,402,Google Pixel 5,Android,97,2.7,612,36,508,53,Male,2,30429,28.1,15.9,7193,1
16623,0,0.823038874,47,0,3715,,11,0,1,0,1,556,Xiaomi Mi 11,Android,201,4.9,1633,41,972,32,Female,3,38203,15.7,9.1,12334,1
119291,0,0.727946115,57,0,0.272429309,18000,8,0,2,0,4,162,Xiaomi Mi 11,Android,53,1.9,526,15,112,42,Male,1,47851,14.6,5.6,9294,1
86409,0,0.076211301,49,0,0.205577612,10326,7,0,1,0,1,202,iPhone 12,iOS,127,3.7,1153,35,314,37,Female,2,32019,25.1,10.2,2449,1
124009,0,0.9999999,34,0,3210,0,2,0,1,0,2,270,Samsung Galaxy S21,Android,381,6.6,2160,69,1450,20,Male,4,47952,16.2,7.8,54835,0
85461,0,0.989400353,51,0,0.87424362,3800,6,0,2,0,0,271,Xiaomi Mi 11,Android,426,6.5,1969,78,1266,53,Female,4,49285,19.6,7.6,215513,0
34258,0,0.38903219,68,0,1956,,8,0,1,0,0,456,iPhone 12,iOS,74,1.6,436,13,182,27,Female,1,33034,21.3,9.7,2402,1
50692,0,0.023256695,67,0,0.005346294,4114,4,0,0,0,0,462,Samsung Galaxy S21,Android,123,3.3,938,36,438,55,Male,2,67552,5.8,3.7,30471,1
10673,0,0.206618815,42,0,0.390540776,5750,8,0,2,0,3,252,OnePlus 9,Android,441,7.9,2332,78,1477,23,Female,4,44680,16.3,7.5,21847,1
144167,0,0,34,0,0.29843963,6600,10,0,0,0,2,296,OnePlus 9,Android,65,1.8,481,18,130,41,Male,1,50282,12.5,3.8,2881,1
7322,0,0.295809317,48,1,2243,,8,0,1,0,2,338,Samsung Galaxy S21,Android,30,1.3,561,15,252,34,Male,1,40101,17.3,5.5,10642,1
15111,0,0.330316509,67,0,1081,,7,0,1,0,0,53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,2,34536,20.5,4.4,3228,1
129697,0,0.023899403,58,0,0.119847812,4730,4,0,0,0,1,217,iPhone 12,iOS,402,6.9,2282,78,1397,40,Male,4,46481,22.6,13,50960,0
83565,0,0.012477239,66,0,0.085793137,8333,5,0,0,0,2,188,OnePlus 9,Android,75,1.1,379,15,185,37,Male,1,67309,11.3,6.4,499197,1
119867,0,0.250974903,33,0,0.061297685,3066,4,0,0,0,0,380,OnePlus 9,Android,106,3,922,22,313,51,Male,2,53974,10.3,6.9,10646,1
133770,0,0.375968651,60,0,0.275497572,10500,14,0,2,0,0,493,Xiaomi Mi 11,Android,87,1.5,594,19,198,36,Female,1,45759,18.1,9.9,69420,1
146286,0,0.954499082,31,0,0.235159342,4800,10,0,0,0,2,41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,38560,20.6,7.5,3660,1
84222,0,0.228519196,40,0,0.175637394,6000,8,0,0,0,0,157,Xiaomi Mi 11,Android,86,1.7,439,19,136,54,Male,1,51202,18.4,7.5,84198,1
118,0,0.033461782,44,0,1.243362832,4067,5,0,2,0,1,15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,3,56189,10.4,7.1,9628,1
71202,0,0.17727829,65,0,0.02413417,7333,2,0,0,0,0,65,Samsung Galaxy S21,Android,459,7,1982,67,1091,43,Male,4,39521,19.9,12.7,23856,0
84950,0,0.049011809,49,0,1.015912481,4021,16,0,2,0,2,521,OnePlus 9,Android,350,6.5,2364,75,1485,20,Male,4,43622,16.8,10.5,26360,0
52889,0,0.064647345,65,0,0.393034826,200,4,0,0,0,0,344,iPhone 12,iOS,290,6,1533,54,645,57,Female,3,26495,39,11.5,5365,0
13859,0,0.110994158,85,0,0.026076159,2415,1,0,0,0,0,129,Xiaomi Mi 11,Android,125,2.5,678,34,465,31,Male,2,40401,20.3,9.4,4331,1
136207,0,0.151233951,63,1,0.064693197,5100,7,0,0,0,1,648,iPhone 12,iOS,66,1.5,565,17,283,42,Female,1,42095,18.6,8,16128,1
22935,0,0.246042779,70,0,0.318729785,3400,7,0,0,0,0,472,Xiaomi Mi 11,Android,541,9.4,2452,93,1811,53,Female,5,42083,18.3,11.5,9331,0
133891,0,0.740293974,28,0,0.681751179,6783,9,0,1,0,0,63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1,45890,10.9,6,6904,1
56198,0,0.741131411,53,1,4137,,21,0,2,0,1,139,Samsung Galaxy S21,Android,497,9.7,2876,94,2076,18,Male,5,61820,8.8,5.6,121280,0
130665,0,0.024162279,75,0,0.006293965,2700,10,0,0,0,0,499,Google Pixel 5,Android,274,4.5,1356,54,869,53,Male,3,51355,10.2,7.3,15518,1
87519,0,4.23E-05,51,0,0.06587473,8333,7,0,0,0,1,593,Samsung Galaxy S21,Android,379,7.7,1809,64,1050,22,Female,4,38362,21.6,7.9,746,1
16603,1,0.979486886,59,0,1.168943685,3000,9,0,2,0,1,392,OnePlus 9,Android,337,6.1,1901,76,1359,58,Male,4,50350,10.9,9,22298,0
105029,1,0.9999999,35,0,0.075274961,7000,1,2,0,1,3,675,Xiaomi Mi 11,Android,522,11.4,2776,93,1768,27,Female,5,42306,20.5,11,78531,0
13217,0,0.200448239,57,1,0.289618397,6000,15,0,2,0,0,419,Xiaomi Mi 11,Android,202,4.9,1549,43,964,27,Female,3,42368,13.1,6.6,6880,1
38883,0,0.9999999,22,0,0.011976048,500,0,0,0,0,0,289,OnePlus 9,Android,121,3.7,619,36,473,47,Male,2,42811,14.8,7.7,14386,1
73884,0,0.002943509,60,0,0.000821018,7307,7,0,0,0,2,379,Samsung Galaxy S21,Android,525,10.8,2445,99,1623,57,Male,5,50663,13.4,8.4,18092,1
17654,0,0.417553954,62,0,0.466055446,4580,11,0,1,0,1,490,Google Pixel 5,Android,586,9.3,2403,94,2332,21,Male,5,42811,19.1,20,5656,0
142822,0,0.9999999,28,0,0.264532173,3216,5,0,0,0,0,231,iPhone 12,iOS,159,2.3,1083,32,526,38,Male,2,65833,8.8,4.9,54190,1
84865,0,0.033024119,54,0,1309,,8,0,1,0,0,41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,50377,12.9,5.1,3105,1
117264,0,0.9999999,79,0,0,,0,0,0,0,0,28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5,40734,20.8,8.6,52620,1
34411,0,0.229448971,60,0,0.357169322,8096,15,0,1,0,1,135,Xiaomi Mi 11,Android,83,1.6,303,19,285,51,Male,1,65125,7.4,1.6,1301,1
117837,0,0.11045178,63,0,0.311815713,11416,20,0,1,1,1,201,Samsung Galaxy S21,Android,495,8.9,2920,84,2252,31,Female,5,31683,16.9,11,459,0
7417,0,0.001749913,85,0,1,,4,0,0,0,0,33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3,43691,13.4,5.2,3889,1
17710,0,0.192080876,34,0,0.402780387,5322,8,0,1,0,4,48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2,38500,16.1,2.4,4133,1
136253,0,0,58,0,0.151310457,3700,6,0,1,0,0,503,Xiaomi Mi 11,Android,582,8.4,2664,91,2493,55,Female,5,42794,17.9,7.2,23921,0
26211,0,0.661195142,59,0,0.709907014,8710,20,0,5,0,0,407,Xiaomi Mi 11,Android,147,3.2,994,33,567,25,Female,2,37656,20.3,4.5,4272,1
39345,0,0.138601336,46,0,0.641245358,3500,23,0,2,0,0,574,Samsung Galaxy S21,Android,537,9.1,2858,86,2158,22,Male,5,58500,11.6,4.4,805,0
116700,0,0.10603311,60,0,0.139124058,15000,7,0,1,0,0,99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1,32460,31.4,8.4,16387,1
95048,0,0.840257721,33,1,0.561643836,2700,8,0,0,0,0,684,Samsung Galaxy S21,Android,75,1.6,325,12,225,45,Male,1,46728,11.8,0.9,5529,0
111110,0,0,43,0,0,2300,8,0,0,0,1,547,OnePlus 9,Android,236,4.6,1750,45,971,21,Female,3,24015,35,10.7,2309,0
51157,0,0.429343707,73,0,0.335827216,7083,23,0,0,0,0,613,Xiaomi Mi 11,Android,553,10.2,2911,82,2441,44,Male,5,42080,19.8,12.1,58296,0
129331,0,0,50,0,0,1200,4,0,0,0,0,462,Samsung Galaxy S21,Android,123,3.3,938,36,438,55,Male,2,57010,12.1,9.4,210450,1
67234,0,0.9999999,56,0,340,,5,0,0,1,,643,Google Pixel 5,Android,502,8.2,2597,90,1553,27,Male,5,42973,17.2,4.6,1049,1
115062,0,0.000212721,57,0,0.165278241,3000,4,0,0,0,2,5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,3,46271,14.8,6.9,97589,1
17170,0,0.008246998,52,0,0.363145096,3700,3,0,1,0,2,218,OnePlus 9,Android,555,9.5,2855,95,1565,24,Male,5,48643,9.3,7.2,1942,0
125745,0,0.068769134,67,0,0.291585421,6666,13,0,2,0,3,503,Xiaomi Mi 11,Android,582,8.4,2664,91,2493,55,Female,5,49783,14.5,7.6,20773,1
46673,0,0.484589112,37,0,0.373803742,7000,10,0,1,0,2,398,iPhone 12,iOS,517,11.6,2798,90,2175,20,Male,5,44810,15,4.8,8332,1
149918,0,0.01585557,64,0,0.112411607,4100,10,0,1,0,0,393,Samsung Galaxy S21,Android,168,3.5,1055,29,313,54,Male,2,48285,13.3,5.9,5141,1
102439,0,0,25,1,0.05891636,1900,2,0,0,0,0,207,Google Pixel 5,Android,78,1.7,455,15,207,37,Female,1,49026,23.5,12.7,327294,0
4891,1,0,60,3,0.292697378,6750,5,1,1,2,0,15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,3,70848,12.8,7.3,171651,1
146811,0,0.012461753,54,0,0.222196691,4351,11,0,1,0,0,554,Samsung Galaxy S21,Android,405,7.3,2082,75,1162,37,Female,4,43600,12.9,6.5,6686,1
10141,0,0.132091359,36,0,0.461418307,3200,8,0,2,0,1,461,Samsung Galaxy S21,Android,523,9,2696,91,1561,20,Female,5,37684,19.2,8.9,7141,0
111238,0,0.07087744,58,0,0.275158248,7740,18,0,1,0,0,691,Google Pixel 5,Android,195,5.7,1447,48,679,30,Male,3,41665,16.7,9.8,6957,1
117339,1,0.960691923,42,0,1.241580483,3770,29,1,2,1,3,575,Xiaomi Mi 11,Android,519,10.9,2571,93,2163,47,Female,5,42834,26.9,4.7,20577,0
88469,0,0.02966865,53,0,0.305562676,3900,15,0,1,1,0,241,Google Pixel 5,Android,45,1.7,302,16,191,57,Female,1,38750,19.2,7.4,3949,1
116628,0,0.9999999,34,0,1.810841984,2600,7,0,2,0,0,564,iPhone 12,iOS,46,1.6,440,10,265,31,Male,1,38457,18.7,9.5,20201,1
113106,0,0.053967137,68,1,0.74690124,2500,9,0,1,0,0,96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4,39271,17.1,11.9,437,0
57839,0,0.9999999,47,0,0.757432255,3800,2,1,0,3,2,485,iPhone 12,iOS,444,6,1873,61,1093,39,Female,4,59047,7.7,3,9763,0
42458,0,0.034868996,81,0,0.017391304,4484,6,0,0,0,0,407,Xiaomi Mi 11,Android,147,3.2,994,33,567,25,Female,2,46241,17.6,8.6,49641,1
57005,0,0.294756011,59,0,0.563535912,4886,20,0,3,0,3,231,iPhone 12,iOS,159,2.3,1083,32,526,38,Male,2,48750,19.1,3.8,1502,1
27965,1,0.76147208,46,0,0.494569902,5800,7,0,1,0,2,655,Google Pixel 5,Android,594,10.5,2839,91,1647,56,Male,5,37777,15.4,6.9,6873,1
141962,0,0.009004321,46,0,0.017327557,3000,7,0,0,0,0,171,Xiaomi Mi 11,Android,92,3.7,1124,27,524,44,Male,2,56153,11.9,8.1,3546,1
29910,0,0.528879393,59,0,0.639218915,8500,19,0,1,0,0,541,iPhone 12,iOS,567,10.5,2817,89,2194,52,Male,5,37832,19.1,8.9,9519,1
125078,0,0.408433359,42,0,0.468075437,4400,7,0,1,0,1,36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1,43250,7.8,1.9,3012,1
51213,0,0.019811546,56,0,0.067488752,6000,19,0,1,0,0,525,Samsung Galaxy S21,Android,272,5.2,1390,45,792,57,Female,3,40493,16.5,7.1,1534,1
109729,0,0,56,1,0.500549945,10000,8,0,2,0,2,160,Xiaomi Mi 11,Android,131,2.4,859,26,305,40,Male,2,43933,13,4.3,2691,1
63781,0,0.018324672,46,0,1131,,7,0,0,0,0,699,Samsung Galaxy S21,Android,62,1.7,431,13,224,44,Male,1,49870,11.5,5.5,2955,1
8342,0,0.982120773,51,0,0.328345802,9623,9,0,2,0,1,243,OnePlus 9,Android,162,3.5,761,36,338,51,Male,2,30096,30,9.7,11922,1
134181,0,0.008867272,58,0,0.256641604,5984,10,0,1,0,1,86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4,38750,19.2,7.4,3949,1
140419,0,0.723202695,30,0,12.31840796,200,9,0,2,0,0,578,iPhone 12,iOS,381,7.5,2216,66,1291,37,Female,4,53869,12.4,4.5,15314,0
95547,0,0.065258947,53,0,0.172982774,5514,13,0,1,0,0,682,Xiaomi Mi 11,Android,380,7.6,2354,77,1191,30,Male,4,36519,27.4,12.4,60115,0
119333,0,0.046441004,41,0,0.447881961,2100,3,0,1,0,0,557,iPhone 12,iOS,142,3.5,625,25,370,40,Female,2,55114,12.1,5.4,83140,1
18608,0,0,53,0,0.37652226,5008,12,0,2,0,2,574,Samsung Galaxy S21,Android,537,9.1,2858,86,2158,22,Male,5,44330,11.8,4.1,2101,1
148774,0,0.81821487,66,0,0.098320813,4525,12,0,0,0,0,646,Xiaomi Mi 11,Android,174,2.9,1197,23,345,20,Female,2,41472,16.6,8.5,7801,1
31588,0,0.428398505,45,0,0.339366516,3756,8,0,1,0,0,28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5,93257,8.3,5.7,129027,0
49188,0,0,33,0,806,,6,0,1,0,0,620,Samsung Galaxy S21,Android,292,4.2,1407,54,867,59,Male,3,50476,15.8,5.9,3647,1
24258,0,0.851893513,31,0,0.155576382,3200,2,0,0,0,0,556,Xiaomi Mi 11,Android,201,4.9,1633,41,972,32,Female,3,57514,9.6,6.9,23960,1
82973,0,0.227737854,53,0,1.372434018,3750,12,0,2,0,0,340,iPhone 12,iOS,64,1.2,590,13,155,30,Male,1,27731,24,11.1,1811,0
140114,0,0.034390557,65,0,0.225815144,3710,10,0,0,0,1,331,Google Pixel 5,Android,233,4.6,1534,49,796,21,Female,3,55613,9,5,8583,1
41592,0,0.132956425,48,0,0.630987182,4446,7,0,1,0,2,640,Google Pixel 5,Android,538,9.8,2778,91,2080,35,Female,5,57130,7.8,3.4,12978,1
25246,0,0.9999999,67,0,0.384271513,17000,9,0,3,0,0,506,Samsung Galaxy S21,Android,348,6.6,2398,66,1415,49,Female,4,51593,12.9,4.3,5499,1
8396,0,0.030848458,61,0,1732,,9,0,1,0,,348,Samsung Galaxy S21,Android,62,1.4,542,18,266,46,Male,1,42614,21.8,5.8,500,1
